LATITUD,LONGITUD,ACTIVIDAD,TIPO,FECHA
-8.55238018,-74.87398359,Agricultura,Clasificación,22/03/2019
-6.97612352,-78.48586496,Minería,ITS,19/01/2017
-13.07208122,-74.98253851,Minería,ITS,27/12/2018
-15.25001665,-70.82776413,Minería,ITS,11/12/2018
-6.99439182,-78.52920291,Minería,MEIA-d,19/12/2019
-12.78431528,-74.20615389,Transportes,Clasificación,1/07/2019
-5.93881035,-77.3180964,Agricultura,Clasificación,4/07/2019
-17.24363886,-71.1886461,Electricidad,Clasificación,17/06/2019
-5.34577057,-80.98726964,Hidrocarburos,ITS,17/06/2019
-13.4061613,-70.90075458,Transportes,ITS,4/08/2018
-17.13433216,-71.77345219,Transportes,Clasificación,3/07/2018
-10.61611424,-76.20517965,Minería,ITS,10/12/2019
-11.59123846,-76.12218276,Minería,MEIA-d,27/06/2019
-14.91869936,-73.23711362,Minería,ITS,14/12/2018
-5.6334736,-79.88137228,Transportes,ITS,15/07/2019
-6.42455468,-76.2881288,Transportes,ITS,4/03/2020
-13.15209764,-70.39899865,Transportes,ITS,27/08/2020
-11.96213824,-76.73850797,Transportes,Clasificación,14/08/2018
-10.50826077,-75.07241493,Transportes,Clasificación,14/08/2018
-5.71793437,-78.48291233,Transportes,ITS,12/02/2019
-7.13948572,-76.75744149,Transportes,Clasificación,15/02/2019
-12.00663241,-77.11823595,Transportes,ITS,9/01/2019
-17.2771053,-71.07162842,Residuos Sólidos,Clasificación,7/12/2018
-11.0317116,-76.42252172,Minería,ITS,30/01/2020
-16.4699932,-71.51414201,Electricidad,ITS,22/03/2019
-14.90795176,-75.08891401,Agricultura,Clasificación,24/10/2019
-4.50845286,-81.26097658,Hidrocarburos,ITS,28/09/2018
